Date,volatility,momentum,price_strength,volume,breadth,kosdaq_ratio,sentiment_index,grade
2016-05-13,,,,36.37893362131752,25.21359872538028,,,극도의 탐욕
2016-05-16,,,,42.05357217107834,27.44595187312447,,,극도의 탐욕
2016-05-17,,,,46.8546977641174,27.796343368858004,,,극도의 탐욕
2016-05-18,,,,52.722566330775635,21.651348285305914,,,극도의 탐욕
2016-05-19,,,,53.003056148643765,20.589758695126704,,,극도의 탐욕
2016-05-20,,,,49.65911522822466,24.165711389430996,,,극도의 탐욕
2016-05-23,,,,45.70322344154505,31.27646198229111,,,극도의 탐욕
2016-05-24,,,,42.92449960455072,30.810815816708057,,,극도의 탐욕
2016-05-25,,,,39.57040713821427,39.21011225555658,,,극도의 탐욕
2016-05-26,,,,40.71657887583659,41.36418162192785,,,극도의 탐욕
2016-05-27,,,,43.75505790048592,50.58129039057748,,,극도의 탐욕
2016-05-30,,,,46.32292675657552,42.63394920384569,,,극도의 탐욕
2016-05-31,,,,48.07645811313977,51.39596031783734,,,극도의 탐욕
2016-06-01,,,,42.43759775531738,52.24906665098837,,,극도의 탐욕
2016-06-02,,,,38.950515931814245,58.376474385670285,,,극도의 탐욕
2016-06-03,,,,38.069689287188254,58.303202975726116,,,극도의 탐욕
2016-06-07,,,,35.318010411314795,66.30489898431568,,,극도의 탐욕
2016-06-08,,,,30.409306333476955,75.53911562967801,,,극도의 탐욕
2016-06-09,,,,31.644388501147567,79.60827975800734,,,극도의 탐욕
2016-06-10,,,,30.243409432233566,75.65646219522678,,,극도의 탐욕
2016-06-13,,,,28.16145486804169,57.11470812669704,,,극도의 탐욕
2016-06-14,,,,27.61495850184969,60.954140497328375,,,극도의 탐욕
2016-06-15,,,,25.770719512274727,53.032933878597206,,,극도의 탐욕
2016-06-16,,,,22.989717989667767,48.31615187147391,,,극도의 탐욕
2016-06-17,,,,25.280565257214178,44.36181318585399,,,극도의 탐욕
2016-06-20,,,,23.874494809746608,54.225816395309224,,,극도의 탐욕
2016-06-21,,,,26.083224383608677,49.767941726060364,,,극도의 탐욕
2016-06-22,,,,27.552978795130855,53.08047690128576,,,극도의 탐욕
2016-06-23,,,,29.259153279101774,50.489229632228614,,,극도의 탐욕
2016-06-24,,,,35.14141960831479,36.48889549336821,,,극도의 탐욕
2016-06-27,,,,36.12098319151385,28.813449709405546,,,극도의 탐욕
2016-06-28,,,,32.321394104833594,26.582463267195095,,,극도의 탐욕
2016-06-29,,,,34.982849817933385,33.948760861675595,,,극도의 탐욕
2016-06-30,0.0,,,33.07992412040517,39.18967347800021,,,극도의 탐욕
2016-07-01,0.0,,,24.583373712792568,52.09556767229552,,,극도의 탐욕
2016-07-04,0.0,,,27.18801322538869,55.875376480494516,,,극도의 탐욕
2016-07-05,6.287508641315924,,,28.62374345282386,55.247657393761415,,,극도의 탐욕
2016-07-06,0.0,,,29.081256938109316,50.256620942287036,,,극도의 탐욕
2016-07-07,0.0,,,31.502466938518037,54.313351862168275,,,극도의 탐욕
2016-07-08,0.0,,,29.08701035909516,45.95927412555867,,,극도의 탐욕
2016-07-11,5.549067381552248,,,25.84170067091529,51.18296990179584,,,극도의 탐욕
2016-07-12,6.059708371522362,,,26.72264794505881,49.71834436711656,,,극도의 탐욕
2016-07-13,4.838468511746569,,,23.79550854602591,53.79687232463901,,,극도의 탐욕
2016-07-14,8.135577441663855,,,23.253560325914215,71.99894293657877,,,극도의 탐욕
2016-07-15,7.916440643971384,,,27.067742098177742,72.97819017344735,,,극도의 탐욕
2016-07-18,13.750311775612388,,,28.461158957505404,72.19810098742781,,,극도의 탐욕
2016-07-19,13.411602843323465,,,28.112865545785187,67.2656785350173,,,극도의 탐욕
2016-07-20,13.97762125091424,,,27.461405830225754,63.860368993725075,,,극도의 탐욕
2016-07-21,14.262431169749306,,,29.57835269015348,58.35570604509716,,,극도의 탐욕
2016-07-22,59.21126666618156,,,27.686477130786578,55.26239133053201,,,극도의 탐욕
2016-07-25,59.231449520523505,,,27.007073954983923,58.05780022937989,,,극도의 탐욕
2016-07-26,58.16145806089273,,,25.825247735817364,81.52395054968984,,,극도의 탐욕
2016-07-27,61.35419044567015,,,29.432338605649775,75.7294954382272,,,극도의 탐욕
2016-07-28,62.42350010032832,,,28.03573283473564,81.51488137877607,,,극도의 탐욕
2016-07-29,64.96561218044262,,,30.282549639759047,69.33830334365811,,,극도의 탐욕
2016-08-01,63.629573222093036,,,31.80780668980219,73.33979662889152,,,극도의 탐욕
2016-08-02,62.32165163911336,,,34.296307123968475,58.58816502516689,,,극도의 탐욕
2016-08-03,74.50046251764974,,,36.660577016424405,42.974884186557794,,,극도의 탐욕
2016-08-04,80.63650707303088,,,36.28118820680308,41.04936079545455,,,극도의 탐욕
2016-08-05,79.33688266517989,,,34.14488698779083,48.56311949529634,,,극도의 탐욕
2016-08-08,87.00661771811436,,,31.174155015610154,55.96544736249566,,,극도의 탐욕
2016-08-09,85.15610098854724,,,32.10871433093656,60.85060090397509,,,극도의 탐욕
2016-08-10,87.79793510962233,,,26.724306170149998,62.65221869375614,,,극도의 탐욕
2016-08-11,87.74458483696387,,,27.387171673196924,64.74696158249526,,,극도의 탐욕
2016-08-12,88.56851940318555,,,31.44344355391244,64.66293890289641,,,극도의 탐욕
2016-08-16,88.34721056940947,,,35.33317687985753,58.668729847966475,,,극도의 탐욕
2016-08-17,88.39986257183477,,,33.575931337413394,57.82424735224895,,,극도의 탐욕
2016-08-18,86.78774677572586,,,34.04282553440489,63.50279830614956,,,극도의 탐욕
2016-08-19,87.27466941389899,,,35.72012962378935,66.26333425863506,,,극도의 탐욕
2016-08-22,83.1517359684292,,,34.304799919803884,55.06909670382985,,,극도의 탐욕
2016-08-23,82.55134238044485,,,33.68279276327763,62.770693374608754,,,극도의 탐욕
2016-08-24,84.84193226335971,,,30.269611213479642,73.79269687178245,,,극도의 탐욕
2016-08-25,84.96612276062264,,,28.63820824985874,71.76944972124844,12.672215148344435,,극도의 탐욕
2016-08-26,84.6905372916773,,,25.26383235338459,61.36951271084218,9.573474879393356,,극도의 탐욕
2016-08-29,84.64988306563372,,,24.6700257147466,50.788552681830424,0.0,,극도의 탐욕
2016-08-30,86.75779313667542,,,25.285722408597263,47.22218491908951,5.3246316969951515,,극도의 탐욕
2016-08-31,88.45234269025391,,,29.755144062207922,43.50875356138915,2.101049284327474,,극도의 탐욕
2016-09-01,100.0,,,32.36556781911653,39.23973703815037,21.28364316831441,,극도의 탐욕
2016-09-02,99.96074409824415,,,34.32702311155189,42.2686109360496,30.66994959215493,,극도의 탐욕
2016-09-05,97.23612212421557,,,41.199482748157166,56.305053488563864,22.089561519839148,,극도의 탐욕
2016-09-06,99.58702159868498,,,42.301747495135736,61.37410312234106,18.629665785574467,,극도의 탐욕
2016-09-07,100.0,,,49.86790453960007,53.44359482181971,9.083380028512757,,극도의 탐욕
2016-09-08,99.98232082664518,,,58.45314113506564,53.97768379235502,0.0,,극도의 탐욕
2016-09-09,87.05299950786987,,,59.59489300364965,47.97506280393648,14.45795838159429,,극도의 탐욕
2016-09-12,57.908819705031604,,,45.946385052802604,29.782140190988343,22.63699455765634,,극도의 탐욕
2016-09-13,56.49186055646776,,,52.54298941798942,34.82158133479112,34.19750247764842,,극도의 탐욕
2016-09-19,52.39763663561692,,,43.77490224135592,41.61519448301662,37.730230073590576,,극도의 탐욕
2016-09-20,52.872718452766115,,,34.014301145488076,46.45626244733045,48.66020977420472,,극도의 탐욕
2016-09-21,51.3600167698463,,,37.21030788689934,51.06135038764436,50.05820905593645,,극도의 탐욕
2016-09-22,51.265647737117945,,,37.119688407879195,52.80088428742088,55.3710062155492,,극도의 탐욕
2016-09-23,51.718059229776344,,,37.79139417506235,55.48339598371204,59.534691020665086,,극도의 탐욕
2016-09-26,51.596538219665355,,,34.84329918583327,53.95090253772332,60.99199125767163,,극도의 탐욕
2016-09-27,49.032029258638175,,,40.889261432429905,56.375162565280114,52.940801792053236,,극도의 탐욕
2016-09-28,48.22127025829624,,,39.42659337953609,48.052379965401535,57.9120084006733,,극도의 탐욕
2016-09-29,46.442680353478195,,,37.75102991223356,50.578033192122255,54.04255176669547,,극도의 탐욕
2016-09-30,39.73947384089714,,,33.318923280880746,45.65210436834051,54.32963098386474,,극도의 탐욕
2016-10-04,38.93201711836962,,,32.7321433114884,47.9772261869898,57.37966283753174,,극도의 탐욕
2016-10-05,38.93743990446358,,,21.97326057298772,53.87451382971208,59.01940115076191,,극도의 탐욕
2016-10-06,37.89529012314831,,,15.922658047232172,72.90266969443111,49.30417321490787,,극도의 탐욕
2016-10-07,41.08024931999721,,,16.929795344361796,66.51897463554195,40.98511015565589,,극도의 탐욕
2016-10-10,41.43892577366726,,,17.42161720828207,63.55527099252645,37.93812244934467,,극도의 탐욕
2016-10-11,35.76387246617453,,,20.232992378424715,51.86968732502068,48.420687414909395,,극도의 탐욕
2016-10-12,35.76539412119489,,,22.759522641817888,49.28417435307364,47.11780439228955,,극도의 탐욕
2016-10-13,38.806646378655216,,,25.76917450875225,39.454592729305816,46.80005461942687,,극도의 탐욕
2016-10-14,63.48760285907509,,,26.692234250853602,40.49853071394969,46.93202342537157,,극도의 탐욕
2016-10-17,63.89289387351667,,,28.065948833931525,44.02867242028959,33.60916269515957,,극도의 탐욕
2016-10-18,65.27650649271139,,,27.80906945086236,43.02014510810044,27.21373525326071,,극도의 탐욕
2016-10-19,66.37073408060922,,,28.93920945937465,45.99043726880643,30.853892227183067,,극도의 탐욕
2016-10-20,67.68279813123115,,,25.272105317715354,39.64807992529473,20.98121989734163,,극도의 탐욕
2016-10-21,69.67412022984178,,,19.699706080243637,45.50832971411064,19.980406551321224,,극도의 탐욕
2016-10-24,66.73683916550664,,,18.483048173099352,47.078089276375245,3.3910688256435764,,극도의 탐욕
2016-10-25,65.91408463827608,,,18.66589188042466,43.93720224598281,0.0,,극도의 탐욕
2016-10-26,63.41949037465305,,,23.398790527395228,31.8377489298464,7.861309105176427,,극도의 탐욕
2016-10-27,62.23595899866975,,,26.396756305527397,39.41962160435645,31.029705814398607,,극도의 탐욕
2016-10-28,66.18569522802319,,,28.133237844179988,36.82539382217135,18.409435890914157,,극도의 탐욕
2016-10-31,72.20701898298142,,,33.41971774396062,40.7467534012327,0.0,,극도의 탐욕
2016-11-01,74.79590310155777,,,34.302223427059644,39.652740014405225,6.353535707167741,,극도의 탐욕
2016-11-02,65.28382503231184,,,31.53422839552369,36.72147280239593,0.0,,극도의 탐욕
2016-11-03,67.74356390876211,,,31.123572295864133,35.61593204256377,6.940207133993962,,극도의 탐욕
2016-11-04,68.47682546768337,,,31.30369332191336,32.719295729159626,11.574186481291795,,극도의 탐욕
2016-11-07,63.957657461092516,,,24.336304199844864,34.08832947132139,25.39625560822822,,극도의 탐욕
2016-11-08,70.0113797467213,,,21.769966577073916,36.5799916084331,27.602242709425827,,극도의 탐욕
2016-11-09,46.94974435710263,,,33.46113400453844,27.73024723523453,10.33075468686827,,극도의 탐욕
2016-11-10,26.073928239320495,,,40.02064919040064,43.12900920686335,30.47323747282157,,극도의 탐욕
2016-11-11,23.99148478283341,,,47.308230861274474,35.909207735773904,40.283190119484516,,극도의 탐욕
2016-11-14,23.87501063304775,,,52.83819736387824,35.9957187443829,46.50569483511666,,극도의 탐욕
2016-11-15,26.089122780594963,,,57.4016578749058,38.83968006657737,44.94920881352394,,극도의 탐욕
2016-11-16,23.903762146925303,,,41.39827179890023,39.39120376572108,58.59547061645277,,극도의 탐욕
2016-11-17,23.827949046909296,,,34.92346604593045,40.55591508767476,59.2333184119632,,극도의 탐욕
2016-11-18,23.932248935923766,,,31.247998719180277,41.61971775256385,50.070942850131125,,극도의 탐욕
2016-11-21,26.744634274116933,,,26.35603993628685,40.074920855980444,35.996086203735764,,극도의 탐욕
2016-11-22,23.002831327056413,,,21.11114495446377,51.14841295580637,30.208407228119626,,극도의 탐욕
2016-11-23,26.805518520283556,,,21.888306078370874,51.05407808785101,9.962400173233464,,극도의 탐욕
2016-11-24,26.06166088422873,,,20.904025217982877,47.45938286863246,6.974711118113622,,극도의 탐욕
2016-11-25,25.808281290791683,,,17.076371500711275,44.20260265947059,16.324657855885867,,극도의 탐욕
2016-11-28,26.353602723925434,,,18.178376331873004,43.600134650632356,6.80421435667897,,극도의 탐욕
2016-11-29,26.330403888449183,,,18.35045190836333,56.559377811070455,13.832355732211862,,극도의 탐욕
2016-11-30,33.70794133415403,18.941489394306483,,15.858996317067984,41.56965072106664,12.749168195651976,,극도의 탐욕
2016-12-01,33.93739544913839,19.155400686927983,,15.524974861313536,49.64395048157119,10.233632325099231,,극도의 탐욕
2016-12-02,32.22898537430524,8.515715710457119,,17.259409510930812,48.07826573509678,6.025875658574132,,극도의 탐욕
2016-12-05,34.709913110935716,2.737092680355443,,18.089372752920855,47.89370163701945,0.0,,극도의 탐욕
2016-12-06,27.25729737498159,24.525650536948724,,18.30660651019224,54.50294274091605,0.0,,극도의 탐욕
2016-12-07,49.34290238560533,26.411897721129744,,21.706414448364832,54.95195541923467,0.0,,극도의 탐욕
2016-12-08,55.09816683502496,58.37964903683034,,24.856288802023453,69.12196145906162,0.0,,극도의 탐욕
2016-12-09,59.343022383401646,53.120339901962474,,25.788252662659495,70.1428851769418,19.231207616785397,,극도의 탐욕
2016-12-12,61.40482936877483,54.88649005845709,,29.33357355914559,66.74574916029337,32.96452363153733,,극도의 탐욕
2016-12-13,62.34585019436671,61.60319648708557,,38.234392697714696,67.79549710088557,42.67718887019776,,극도의 탐욕
2016-12-14,63.411549650850276,61.880209299021416,,46.569563363186035,77.5325102425321,45.95940396996457,,극도의 탐욕
2016-12-15,63.33399728202805,61.14129271346348,,49.305406022642,76.76682446028802,59.88067670103654,,극도의 탐욕
2016-12-16,64.41018517405575,65.11556367457824,,52.93840351979887,77.14455242078452,61.017716082554394,,극도의 탐욕
2016-12-19,65.73391000570123,61.59619662240967,,50.41425668282007,74.65484619814166,65.36234960321875,,극도의 탐욕
2016-12-20,68.7099128816598,64.10017483434424,,45.53239494397867,74.32995389082959,58.06133761240313,,극도의 탐욕
2016-12-21,68.11798928110373,60.555086829319016,,40.77164786483284,71.88535529057401,62.40135430975271,,극도의 탐욕
2016-12-22,73.51947131359839,58.413937819550696,,38.92456628007285,78.82951092895289,60.90889952713818,,극도의 탐욕
2016-12-23,73.37980688620351,57.82403698425904,,38.507182424185515,84.26229583811883,68.18835299066272,,극도의 탐욕
2016-12-26,73.36319264323332,58.60136658796332,,42.18125399288127,79.48535258563804,61.852301170548564,,극도의 탐욕
2016-12-27,73.46442369917202,61.50300970508508,,43.21193127829222,80.07184054902534,66.33634008785492,,극도의 탐욕
2016-12-28,67.62391127624494,46.663861936152905,,44.900717330283804,44.7021266976331,89.73998406266597,,극도의 탐욕
2016-12-29,67.67286600873985,47.90066985000386,,43.788243382605714,51.53407984832711,96.31940607227173,,극도의 탐욕
2017-01-02,71.19856153947194,47.402964818471254,,40.24382540584928,49.026010485222265,98.30869126578295,,극도의 탐욕
2017-01-03,69.95600864036388,61.57304295124185,,35.35311993054127,56.19285325017409,97.60513676009744,,극도의 탐욕
2017-01-04,78.57122007764966,62.56401662541333,,32.99847031010986,56.71622536243535,100.0,,극도의 탐욕
2017-01-05,77.93283666112931,58.979099964149654,,37.24944965820878,53.853937910208224,100.0,,극도의 탐욕
2017-01-06,100.0,64.31384531389315,,42.697670628736724,54.89061583475929,99.24016332506987,,극도의 탐욕
2017-01-09,100.0,63.473145876421874,,47.42879825344845,57.773442708590196,97.98055484433046,,극도의 탐욕
2017-01-10,99.52058901712272,60.12766243244264,,54.23264033962935,52.37529063141099,92.61478805284362,,극도의 탐욕
2017-01-11,84.09699388729585,83.97798630155447,,53.44842593935878,70.00314985431923,81.95983945012361,,극도의 탐욕
2017-01-12,82.5531472369952,93.15156124898328,,51.885403691541164,75.01692941917241,70.84110725106582,,극도의 탐욕
2017-01-13,80.08672639437486,84.2968099446041,,51.63648180440942,68.10413318012849,78.52120458361492,,극도의 탐욕
2017-01-16,77.21701235763214,73.74451463256341,,57.19390568487231,60.67901380764039,75.16405093923036,,극도의 탐욕
2017-01-17,77.04418647572025,79.6554849453729,,56.176668410432704,61.69475199067892,67.148481219968,,극도의 탐욕
2017-01-18,76.97649760695802,78.22066825995414,,60.126953322416966,70.81257089389199,72.32873243681024,,극도의 탐욕
2017-01-19,77.4588130389672,79.66511725383234,,54.203479949695144,70.88626403016582,71.03214713266604,,극도의 탐욕
2017-01-20,76.50814026888376,73.4900893945098,,49.04569591786274,66.7458772005277,69.26940783033699,,극도의 탐욕
2017-01-23,76.51606174194917,73.43029011277676,,40.37857449200774,60.970477478617084,61.339683925137166,,극도의 탐욕
2017-01-24,76.47356342999075,72.89090318171489,,31.855031552916753,60.169802123760576,57.78711129976622,,극도의 탐욕
2017-01-25,76.62132461885396,73.58546202532604,,25.521525808615024,62.96024776143592,53.441640872221896,,극도의 탐욕
2017-01-26,79.5772734158942,86.68634886779087,,21.203752202276082,66.27628963908089,57.100837499530655,,극도의 탐욕
2017-01-31,74.39526382629901,73.40245079749255,,17.748074990305707,57.728069629341036,63.31034957591888,,극도의 탐욕
2017-02-01,72.91409898875162,83.43124751566899,,16.667437664800854,63.51475304592708,68.93147516940822,,극도의 탐욕
2017-02-02,74.7622381476595,75.48983494356084,,28.505102742950683,48.11324724334117,58.62051590423968,,극도의 탐욕
2017-02-03,74.75523840623606,76.87236581195195,,30.74552227750498,43.0392395215404,53.135593153084656,,극도의 탐욕
2017-02-06,75.05506496518974,79.96573032700289,,34.055611732764405,50.45990928311979,54.31792938060834,,극도의 탐욕
2017-02-07,75.29463142494822,77.48633009740887,,34.95997670822131,56.540315069047914,53.012465235994924,,극도의 탐욕
2017-02-08,73.49209467182978,68.98236294752704,,30.28945620924064,46.09002007569154,58.23295337789081,,극도의 탐욕
2017-02-09,73.80558728456725,69.400589105282,,13.685562718557462,47.300003960597714,62.00990963326715,,극도의 탐욕
2017-02-10,86.906379146053,76.63341701078015,,11.325209262394775,51.22790941222673,58.42514807426337,,극도의 탐욕
2017-02-13,89.35031356232405,79.29478320641931,,11.947950659852635,57.27347254489151,59.95580848808145,,극도의 탐욕
2017-02-14,90.98640815674133,75.82649118761398,,15.045496937463767,54.596173865734805,62.16497736124433,,극도의 탐욕
2017-02-15,92.80267158228416,83.1147008129147,,19.756128629848767,58.83798888009384,65.43568733529106,,극도의 탐욕
2017-02-16,93.63233545043943,81.25646866963919,,25.165122486721874,57.21630102939681,67.84971641047292,,극도의 탐욕
2017-02-17,93.63794488014639,79.99465041997966,,26.554947431774156,48.286834652934296,71.91701115253288,,극도의 탐욕
2017-02-20,93.48274024415127,82.88144819704699,,27.85994711195911,61.11846309768961,72.3334221016055,,극도의 탐욕
2017-02-21,89.10310184018526,97.54830994938956,,27.202864378656887,63.81207585939636,68.30641531827948,,극도의 탐욕
2017-02-22,89.09710902919774,100.0,,27.37400871686035,73.58262928413399,65.62915651525891,,극도의 탐욕
2017-02-23,89.17448167615844,100.0,,30.229663769130543,73.18107935048516,60.29022640668021,,극도의 탐욕
2017-02-24,85.12326775911026,88.81689182597621,,32.7678073364495,59.87306663855037,62.13817195817843,,극도의 탐욕
2017-02-27,88.12945643694763,81.63086300469448,,33.72664139614862,55.759212284864844,62.32826508461356,,극도의 탐욕
2017-02-28,92.84341330360444,86.18708285585045,,36.69149518158481,65.53218828971603,60.211369442254316,,극도의 탐욕
2017-03-02,93.7289031461562,94.55866047150606,,41.46053353208365,69.20918510506957,51.418704462881806,,극도의 탐욕
2017-03-03,84.62716082336425,75.12450072034005,,45.7150661799399,51.661964107236045,49.77709836996164,,극도의 탐욕
2017-03-06,84.59681033859562,76.91246794663883,,47.07790764854895,51.238107984519466,53.53820772713909,,극도의 탐욕
2017-03-07,82.41971107881768,86.68784689925056,,44.90922814126246,58.2500641062758,51.195534796617125,,극도의 탐욕
2017-03-08,82.60564348107651,87.40193397131623,,42.93308317698561,55.24374293378262,50.15090824209779,,극도의 탐욕
2017-03-09,84.24634264200746,83.71036950438727,,40.36866315330969,54.099250379369266,52.657943514066154,,극도의 탐욕
2017-03-10,83.86432344450081,88.5499076085201,94.36384055555779,40.43455806404015,57.13683099352501,59.03899710364941,73.9,탐욕
2017-03-13,79.37630090825087,100.0,100.0,37.95126230092378,62.39558532379032,55.868140713036595,76.5,탐욕
2017-03-14,76.62496836523727,100.0,100.0,40.38019787653517,61.72389350315824,47.85982439908849,75.4,탐욕
2017-03-15,77.14981646755288,98.92036176519947,99.62595705823128,39.71863661500694,60.25493853279421,41.4881001816203,74.3,탐욕
2017-03-16,74.99504235660271,100.0,100.0,38.88272290048096,64.6653576513296,42.848087706577054,74.8,탐욕
2017-03-17,73.91590942102383,100.0,100.0,32.0609525854741,74.1765348452254,37.328118382592926,74.5,탐욕
2017-03-20,72.51194947185854,94.9483995754833,96.83710805569922,28.168330186134337,74.70458905692914,35.504282504403896,71.8,탐욕
2017-03-21,68.82324221043574,100.0,100.0,25.9135481378666,77.11646693013266,29.17087242416559,72.1,탐욕
2017-03-22,69.21281601868435,93.94400803789232,96.01807764010798,25.80933896968247,70.64346394842339,31.138514166015746,69.4,탐욕
2017-03-23,69.20142177659115,95.76828215044746,97.76411688741307,23.903642048707443,83.6738621868619,27.816141609208735,71.5,탐욕
2017-03-24,68.65319104629911,93.20653635671005,96.27481407826122,26.443282467186,81.12878819429983,33.96411089615506,71.2,탐욕
2017-03-27,68.90563509184484,85.53841795843876,91.0247371634192,31.01292519725245,71.80269628595423,38.62904791681691,68.4,탐욕
2017-03-28,70.64265689602946,89.20919449832162,94.04683945099681,33.763805088035,73.00454765776601,44.175246000707915,71.2,탐욕
2017-03-29,70.71595397770051,90.66963248364789,95.49659983353604,39.768260411581835,75.8406985517748,45.98044402699444,73.3,탐욕
2017-03-30,71.06701697050394,88.9714445004183,94.57217505528706,47.36556785721732,73.5361377776791,49.730499186075065,74.0,탐욕
2017-03-31,81.14371200988334,86.0655189019369,92.83009005064325,49.96753733206812,66.77152893411154,59.15125640174358,75.4,탐욕
2017-04-03,81.04818606387735,89.47538021543068,95.70598180469706,50.398054235673186,64.26697894206383,70.29423772258824,77.5,탐욕
2017-04-04,80.74111957300424,85.53375556453705,93.17381982734426,52.06513717571304,61.34533798063275,69.90635983133959,75.9,탐욕
2017-04-05,80.60351948858515,84.96668568476679,93.07506020575565,48.386022898857426,55.03226012520762,77.7275597423284,75.0,탐욕
2017-04-06,79.59180951673584,80.16219443580196,89.87520988830711,43.22812046032101,44.120815922426225,82.52228997536943,71.3,탐욕
2017-04-07,79.5388666741579,79.18639871887197,89.4722629166301,43.020010688201424,47.19325977433949,87.86625625246434,72.0,탐욕
2017-04-10,78.82745009618148,68.83552992316989,82.19963910302344,45.41960481642168,25.268997306677036,76.58309389996091,64.2,탐욕
2017-04-11,81.34615328170017,63.34590862163161,78.45863621063961,43.28396057864101,25.439299387287633,84.28063275291589,63.4,탐욕
2017-04-12,80.90181138955023,65.56040025839765,80.45745765343668,38.41265476654216,25.962847069665756,82.5797789295596,63.3,탐욕
2017-04-13,79.41951129400553,75.57625136754636,88.23979299057444,34.09647526698451,40.500732011000686,78.54039344744716,67.7,탐욕
2017-04-14,80.36503869891465,67.72899608077903,82.8158258435798,32.71947940318489,40.334892044667406,76.77181860016124,64.8,탐욕
2017-04-17,78.88981001054665,73.09652675813744,87.11389472648696,25.040626272544248,42.07531236839959,88.787181628028,66.8,탐욕
2017-04-18,86.35310970372859,74.06426942684271,88.18047935065549,19.09019536103298,41.56342169768094,95.50517309666905,68.4,탐욕
2017-04-19,86.31972219876556,68.23628331512096,84.20636903114304,16.84145967494634,38.832167149142045,100.0,66.1,탐욕
2017-04-20,84.46655775940302,73.47918025425531,88.45303275945378,14.600787849913432,45.52574294908196,95.36990337719573,67.8,탐욕
2017-04-21,80.39482718306317,81.46442511538461,94.73024831679463,11.839127630884683,49.0674458690903,87.83184801037875,69.2,탐욕
2017-04-24,82.13405285730849,85.50752212032498,98.16706385909008,15.56898193316328,54.6911555503203,73.06341180814222,71.0,탐욕
2017-04-25,75.95466765374675,97.04310214899276,100.0,15.764713361623675,61.42272832907274,72.48888094757433,73.4,탐욕
2017-04-26,74.90962986264209,100.0,100.0,18.886260861039965,67.16518050714528,72.15002072543754,75.1,탐욕
2017-04-27,75.1771257208668,99.99913965395814,100.0,24.563001957211313,67.92073895329096,66.74893858945067,75.6,탐욕
2017-04-28,75.25921525571732,97.0180760459793,98.58559568446054,25.413788047368918,74.58401505984492,64.94192179612476,75.7,탐욕
2017-05-02,73.79502877511362,100.0,100.0,23.426872978407207,81.63614380138642,57.52799503853584,76.3,탐욕
