Date,volatility,momentum,price_strength,volume,breadth,safe_haven,sentiment_index,grade
2016-06-10,,,,,,,,극도의 탐욕
2016-06-13,,,,,,,,극도의 탐욕
2016-06-14,,,,,,,,극도의 탐욕
2016-06-15,,,,,,,,극도의 탐욕
2016-06-16,,,,,,,,극도의 탐욕
2016-06-17,,,,,,,,극도의 탐욕
2016-06-20,,,,,,,,극도의 탐욕
2016-06-21,,,,,46.09219182890298,,46.1,중립
2016-06-22,,,,,54.458889390413454,,54.5,중립
2016-06-23,,,,,47.84576177746778,,47.8,중립
2016-06-24,,,,,17.19993796194651,,17.2,극도의 공포
2016-06-27,,,,,7.933907053969164,,7.9,극도의 공포
2016-06-28,,,,,6.515278982404278,,6.5,극도의 공포
2016-06-29,,,,46.46636900637995,15.198621520046279,,30.8,공포
2016-06-30,0.3303506117538717,,,36.29461775285056,24.599175128347365,9.383884084150562,17.7,극도의 공포
2016-07-01,0.4163579504353123,,,6.657101456989362,55.39022260770482,12.547974053598477,18.8,극도의 공포
2016-07-04,0.6247635055156593,,,13.144565919940037,64.63352208606985,18.02121189850252,24.1,공포
2016-07-05,1.5500605459953647,,,18.207019934786405,63.012814631979296,6.430551520077686,22.3,공포
2016-07-06,0.9788394348634597,,,20.24216450752038,50.28292390067587,0.3408894093184836,18.0,극도의 공포
2016-07-07,0.8436912375332071,,,31.145687618517435,60.687468691004696,2.5413827867351606,23.8,공포
2016-07-08,1.103409749371039,,,20.63506432677638,39.03605619375891,2.695364436646849,15.9,극도의 공포
2016-07-11,2.205059122738035,,,10.568557158127916,52.72293093351325,39.81716697287588,26.3,공포
2016-07-12,2.713095469770181,,,13.382907846228893,48.82324019057656,49.061576934843075,28.5,공포
2016-07-13,2.8821959819174765,,,6.929369152791956,59.622054983117714,66.99122521880997,34.1,공포
2016-07-14,4.114678429798744,,,6.438083059311321,92.6118097064411,82.29907872152724,46.4,중립
2016-07-15,4.494479696372423,,,16.25920818161536,93.08139598871968,88.09754946739758,50.5,중립
2016-07-18,6.997248188772261,,,21.63588142591576,91.96301803814954,70.39450011142698,47.7,중립
2016-07-19,7.290792251934931,,,20.530105842348156,85.56803329233986,66.17305863535363,44.9,중립
2016-07-20,7.966214242679143,,,18.372549254134228,79.58229068500388,56.31696010419978,40.6,중립
2016-07-21,8.514944752108434,,,27.272126808048398,67.65232808093148,61.65926636935375,41.3,중립
2016-07-22,50.79422335897794,,,19.59567701244147,59.87271051703183,98.55154430755402,57.2,중립
2016-07-25,50.81403977475157,,,17.39571558492053,66.804481852251,98.79041920604598,58.5,중립
2016-07-26,49.47845634646143,,,13.853089985399091,97.48880151760065,98.90482202212092,64.9,탐욕
2016-07-27,53.47351190265883,,,27.98787476731907,93.85618753641401,95.33559999806485,67.7,탐욕
2016-07-28,54.79152617029494,,,22.079906904252216,96.93998879886938,88.43346608401828,65.6,탐욕
2016-07-29,57.94159712905733,,,32.51485699987076,85.79109484420783,80.38334624665917,64.2,탐욕
2016-08-01,56.21586203001948,,,40.577142536425285,90.4752903042999,81.50160485590479,67.2,탐욕
2016-08-02,54.51522923696981,,,54.42235907407637,63.96258903302784,80.89054513871766,63.4,탐욕
2016-08-03,69.36383397504801,,,67.09932126366931,25.87215612905367,91.30410661017817,63.4,탐욕
2016-08-04,75.8252001301412,,,65.02914708847668,22.196715037271016,83.9449651121635,61.7,탐욕
2016-08-05,74.29931261648169,,,53.19723801707127,39.15322313053405,94.21809656600159,65.2,탐욕
2016-08-08,81.47847027172583,,,36.51360867125032,58.2135884844083,91.27905684747874,66.9,탐욕
2016-08-09,79.57901293934617,,,41.74309163758598,70.0134249980381,93.36071934369686,71.2,탐욕
2016-08-10,81.71410115704766,,,16.351837697068312,73.85551608827309,86.13058482390556,64.5,탐욕
2016-08-11,81.4260002847164,,,19.074617056375438,77.96730345251336,88.74036403866523,66.8,탐욕
2016-08-12,81.90258694400649,,,38.85216069899678,77.61792368982839,84.91356799329672,70.8,탐욕
2016-08-16,81.47244978139726,,,61.18469152939334,64.02101282205409,77.96659824923242,71.2,탐욕
2016-08-17,81.28705494329137,,,51.02395714514867,61.829925521873655,78.20637124783471,68.1,탐욕
2016-08-18,79.60301450951016,,,53.75169317896563,75.07484394464068,83.70389129134543,73.0,탐욕
2016-08-19,79.8463268637758,,,63.36081238452047,80.37535023095967,86.01584682545679,77.4,탐욕
2016-08-22,75.59993298021925,,,55.15028299998195,54.02295036727713,80.75444758555086,66.4,탐욕
2016-08-23,74.80694367387602,,,51.433487650062105,73.16765263025219,84.09858121020679,70.9,탐욕
2016-08-24,77.01162705172216,,,31.70620629832967,91.10547604621874,69.30096159741376,67.3,탐욕
2016-08-25,76.96196330868597,,,23.65329086015034,88.42611560002986,73.05455486329757,65.5,탐욕
2016-08-26,76.50917314420072,,,11.226881211583855,68.87795543939187,74.155546787912,57.7,중립
2016-08-29,76.3004840792494,,,9.899097023067704,41.192568166950466,76.25624096528868,50.9,중립
2016-08-30,78.2605313531898,,,11.891632427543097,32.188045137051006,71.64373115262754,48.5,중립
2016-08-31,79.71557114854998,,,30.705297512830263,23.857285758734285,79.94356224563761,53.6,중립
2016-09-01,89.6686001612409,,,45.655967216922555,16.01597920439354,89.87823577602293,60.3,탐욕
2016-09-02,89.36325254767485,,,57.45191003922212,21.73958631045384,91.25538902080214,65.0,탐욕
2016-09-05,87.28790607727159,,,88.91484141918417,57.12977648257694,92.71859777415857,81.5,극도의 탐욕
2016-09-06,88.6177685928287,,,91.4825803932547,70.03735894084258,87.03523578512528,84.3,극도의 탐욕
2016-09-07,89.66368487504963,,,99.257347694549,49.13044695230821,72.44771736401357,77.6,탐욕
2016-09-08,89.38187501050675,,,99.97466058528023,50.60486836323093,75.91606567740563,79.0,탐욕
2016-09-09,78.66081439651222,,,99.968800089625,34.42834856322286,58.413411734209184,67.9,탐욕
2016-09-12,41.59324882670534,,,0.4806401311141997,4.992671868061003,23.513564035675312,17.6,극도의 공포
2016-09-13,39.73187864225118,,,98.99545905691386,10.00025396718678,33.298414284841904,45.5,중립
2016-09-19,34.41886462809144,,,88.48434830803524,21.009893019315058,50.192440638261836,48.5,중립
2016-09-20,35.10461438533217,,,48.57596979343443,31.97498219641891,50.466257510562095,41.5,중립
2016-09-21,33.2352661318227,,,64.3860163688822,44.12622984281494,57.437742614702316,49.8,중립
2016-09-22,33.19538279890371,,,63.88999826392833,48.951311024670254,72.11362874074452,54.5,중립
2016-09-23,33.85521646390323,,,66.97908498870984,56.3947188405802,65.85792846308607,55.8,중립
2016-09-26,33.77369979609766,,,52.39798541807702,52.11248353855773,64.5651743557761,50.7,중립
2016-09-27,30.59402562216445,,,79.80339057507685,58.83333917187955,77.51770901317244,61.7,탐욕
2016-09-28,29.683583816326205,,,73.95022594224994,35.75000645368816,72.589996885193,53.0,중립
2016-09-29,27.62587737592358,,,66.3734487481511,42.672036360629015,82.88370736108183,54.9,중립
2016-09-30,20.346128565172577,,,43.924613905435855,29.67290971716873,49.164676081983075,35.8,공포
2016-10-04,19.700581009423217,,,40.96274811303642,35.72833899880566,64.05917114067024,40.1,중립
2016-10-05,19.870396721405,,,5.322191567906948,52.30417033500739,67.08589560695309,36.1,공포
2016-10-06,19.00793533381851,,,0.9664971264468544,92.13061539974831,72.85882191726773,46.2,중립
2016-10-07,22.429639943532152,,,1.5375408843860254,82.85397864393701,47.514640559417145,38.6,공포
2016-10-10,22.95772561099784,,,1.9943856807560902,76.76664987306434,45.37513253217112,36.8,공포
2016-10-11,17.386052167388954,,,4.646901597112409,45.62988293307523,45.31185515462956,28.2,공포
2016-10-12,17.563187406162896,,,8.794827771837388,38.38335368534177,42.6333586554442,26.8,공포
2016-10-13,20.71078090202454,,,16.447989915667684,15.846223004358674,33.29372335459155,21.6,공포
2016-10-14,53.18858484020145,,,19.570695092323685,17.907305718037176,72.23785014488863,40.7,중립
2016-10-17,53.76179589523132,,,24.691973147862,25.48278631282509,78.57146257616441,45.6,중립
2016-10-18,55.74634323765796,,,23.827488634939314,23.30976595486916,75.50952002685504,44.6,중립
2016-10-19,57.30114749058781,,,28.452499465974956,30.49907068961154,66.90033446417728,45.8,중립
2016-10-20,59.1552290152327,,,15.483269788053706,16.688978341809563,57.58667783563295,37.2,공포
2016-10-21,61.944775459006216,,,4.629984910014354,29.59307426184889,44.35205853677289,35.1,공포
2016-10-24,57.699074143217274,,,3.570026840734574,33.74257375531595,63.58508895033851,39.6,공포
2016-10-25,56.4712743798842,,,3.9696718059655,25.88358813444085,61.68062479203491,37.0,공포
2016-10-26,52.76499875467424,,,12.070897477461529,6.431042176769044,22.726557796149354,23.5,공포
2016-10-27,50.99097561117021,,,21.056784925865337,16.90300287508089,49.2469214000532,34.5,공포
2016-10-28,56.86860489576831,,,27.708038886009874,12.733364337014363,40.13008350727249,34.4,공포
2016-10-31,65.50760190257613,,,51.96872593945264,19.843740385690683,60.41130888701286,49.4,중립
2016-11-01,68.97275197889778,,,56.20666389340572,17.836460134437605,44.45548197278643,46.9,중립
2016-11-02,55.28737622695297,,,42.81238325848781,12.96954177426312,16.521060196590742,31.9,공포
2016-11-03,58.938302723775124,,,40.87982992129399,11.525872333805431,8.235434378168149,29.9,공포
2016-11-04,59.990708342586224,,,41.77085383623262,8.119568742742405,12.23660830671317,30.5,공포
2016-11-07,53.159314771809704,,,14.471356774003109,9.920960494806947,20.51470328716739,24.5,공포
2016-11-08,62.225634484427815,,,8.65244934518476,13.631740774209394,35.969274817421656,30.1,공포
2016-11-09,28.1814881211818,,,52.96008206581947,4.291820420054771,4.533397702261498,22.5,공포
2016-11-10,8.490315705664301,,,81.00348966407849,27.309768811176284,76.83816814199824,48.4,중립
2016-11-11,7.516279357438265,,,96.02308305133668,13.184647662026993,73.2219773166881,47.5,중립
2016-11-14,7.659855123760906,,,99.12822986520374,13.486873864845638,66.72776307437172,46.8,중립
2016-11-15,9.156633070479586,,,99.77440768800052,18.587638687803764,50.57423568475171,44.5,중립
2016-11-16,8.059882510853384,,,82.87603434026346,19.800535241964813,63.734461016396374,43.6,중립
2016-11-17,8.21782856240857,,,57.372048812978115,22.33917092854935,67.80768068632996,38.9,공포
2016-11-18,8.476946507108195,,,40.219214280473494,24.80408687619847,75.12319299484453,37.2,공포
2016-11-21,10.444232718959228,,,20.52091166614316,21.510906837452737,50.85792232751448,25.8,공포
2016-11-22,8.299984949995377,,,7.613646273344552,50.616248652625394,76.6489579152698,35.8,공포
2016-11-23,10.899672891222096,,,9.208831510942044,50.34105395178495,92.60998456456717,40.8,중립
2016-11-24,10.569630174581903,,,7.6306807997148045,40.00034197622406,78.29715357816757,34.1,공포
2016-11-25,10.579600207036947,,,3.1843981848597838,31.19965883015563,76.23631126091807,30.3,공포
2016-11-28,11.137191253261307,,,4.410452905740096,29.72158483938655,87.47203432751651,33.2,공포
2016-11-29,11.297512603135445,,,4.791534821237914,66.27724070597935,81.96587398997349,41.1,중립
2016-11-30,17.628615814739646,13.345802690843778,,2.713990763873511,24.727240841059228,95.70113961936323,30.8,공포
2016-12-01,17.98642605473566,13.937117485498668,,2.652863561475103,46.56876239044212,97.90160572206796,35.8,공포
2016-12-02,16.501201769708672,8.002207577780373,,4.298364914011436,42.01310072606997,97.11463603445745,33.6,공포
2016-12-05,19.03762937094639,6.021237295246997,,5.412759974088531,41.50271318234433,86.91988394130662,31.8,공포
2016-12-06,12.554440778524807,20.444871370660206,,5.873910193714721,60.91590469883992,92.52502469398694,38.5,공포
2016-12-07,37.44594141597419,22.528897942715272,,11.951393925571047,62.1612840743139,99.80137176801543,46.8,중립
2016-12-08,45.86732227280089,61.78623164685663,,20.553143276474163,91.3135103250406,97.97422788502938,63.5,탐욕
2016-12-09,52.2259994594698,54.9280100292091,,23.736052488647356,92.28235661092539,97.63029437979426,64.2,탐욕
2016-12-12,55.300733139395064,57.20943493966715,,37.546334881567276,87.76736221736702,97.82243749364514,67.1,탐욕
2016-12-13,56.68609018863671,65.73446788954308,,75.09601276069034,89.11844745669872,98.26491689840682,77.0,탐욕
2016-12-14,58.247264799780595,65.95383378884674,,94.48516191277908,97.32480856368136,93.98801797479636,82.0,극도의 탐욕
2016-12-15,58.10819020890784,64.90786319690065,,96.980465302025,96.79400370968689,94.43181345096954,82.2,극도의 탐욕
2016-12-16,59.67751333802994,69.6743575690499,,98.75091558475066,96.82723146498992,94.53579549674761,83.9,극도의 탐욕
2016-12-19,61.5916706366269,65.18151572490439,,97.37116636340566,95.13062589570113,95.05515970031561,82.9,극도의 탐욕
2016-12-20,65.82349910304677,68.20471332553075,,91.859072274673,94.71721355452355,89.00522857675787,81.9,극도의 탐욕
2016-12-21,64.93810992748769,63.56344747936794,,80.91712083351604,92.3634508955169,83.61716603858899,77.1,탐욕
2016-12-22,72.23121809401496,60.62491309808097,,74.90888931319056,97.16069648792785,85.63413032279806,78.1,탐욕
2016-12-23,71.97736754935826,59.75327386484851,,73.36390940894726,98.79357298482697,83.69120001131607,77.5,탐욕
2016-12-26,71.88384297949389,60.74924749590834,,84.57273391140372,97.09204051950874,84.08358847008604,79.7,탐욕
2016-12-27,71.94435328794053,64.58408138519636,,86.93957789164931,97.20402996704962,90.09454719734774,82.2,극도의 탐욕
2016-12-28,63.80445995430547,43.65095555708366,,90.28173282872636,29.21388063673367,71.97725789324085,59.8,중립
2016-12-29,63.83552517542482,45.45209819949856,,87.88842712593922,47.17848008225502,57.70045442925914,60.4,탐욕
2017-01-02,68.79471071055569,44.76504697352147,,78.2740318264353,40.30823895152979,62.070325553278074,58.8,중립
2017-01-03,67.00445536264411,65.02932853173738,,59.85481048358354,60.10155140161263,84.8367017214062,67.4,탐욕
2017-01-04,78.06549678152894,66.26662866711699,,49.72966206967721,61.48249674375619,76.8298293450719,66.5,탐욕
2017-01-05,77.22478700198155,61.21534832729645,,67.5760042166343,53.59406002609055,67.4941926144492,65.4,탐욕
2017-01-06,96.60148134822904,68.45645246046924,,85.22544873866167,56.471902840346374,37.079203420592506,68.8,탐욕
2017-01-09,96.83482419783356,67.2170946749009,,93.93907778714336,64.27581641841891,49.190943781012614,74.3,탐욕
2017-01-10,96.53422154878474,62.47445712745322,,98.79194341726514,49.32786904119971,33.02721952683074,68.0,탐욕
2017-01-11,87.92147576255189,88.56437787051668,,98.3762872587113,89.0343657579389,58.517648248257835,84.5,극도의 탐욕
2017-01-12,86.4537776553491,93.58717589875629,,97.42436566964835,94.18532471861322,71.17897553490813,88.6,극도의 탐욕
2017-01-13,83.98794763700234,87.97364192780674,,97.11550098176473,85.89992692977206,56.7815291728654,82.4,극도의 탐욕
2017-01-16,80.82594545179745,78.00936186392984,,99.26312886011793,70.85507439838366,48.58231971286999,75.5,탐욕
2017-01-17,80.52525534286274,83.72823522914192,,98.9153031688009,73.20361193189032,60.692836965016554,79.4,탐욕
2017-01-18,80.34429546378017,82.13254765944149,,99.59345239748794,89.57418542199443,59.039049694342495,82.1,극도의 탐욕
2017-01-19,80.78714443871131,83.26353381105795,,97.83557751358191,89.52512804038759,73.60310833474972,85.0,극도의 탐욕
2017-01-20,79.59414190865141,76.64513148800442,,93.20170198431066,83.08864996954718,68.55659993109911,80.2,극도의 탐욕
2017-01-23,79.50527570088522,76.40181978215253,,73.28386066129104,70.79632915480263,66.00877592089928,73.2,탐욕
2017-01-24,79.35818520949051,75.6057068484103,,40.81391175420399,68.76714761807166,61.85186659506097,65.3,탐욕
2017-01-25,79.4358520473752,76.2518786579465,,19.353627494545588,75.3306649605114,58.15345327515388,61.7,탐욕
2017-01-26,82.640698932361,88.41364750849617,,9.843316141338454,82.0322277258539,92.37641675513679,71.1,탐욕
2017-01-31,76.48670654085545,75.4507595291321,,5.231345020326449,62.096594387167436,85.38045000956045,60.9,탐욕
2017-02-01,74.47732128956127,85.4892374978847,,4.324060565126915,76.35520924221656,90.85538617295248,66.3,탐욕
2017-02-02,76.80357348190466,77.37120750087291,,29.63375427265602,35.20216378329407,77.17346949799594,59.2,중립
2017-02-03,76.71227846130363,78.73527292270109,,37.79456225997586,22.968759179021557,73.56646222646044,58.0,중립
2017-02-06,77.01001725711964,81.77737543259728,,50.78408106497978,41.74597207075043,79.4994250821716,66.2,탐욕
2017-02-07,77.22904717779339,78.99452669390013,,54.376705791713995,58.98271843179243,70.70157907005652,68.1,탐욕
2017-02-08,74.81528476574793,68.41526790894119,,36.024909269355256,30.06789065802231,53.35648410899315,52.5,중립
2017-02-09,75.15806973733659,68.88171469209206,,2.257086246996253,33.208594574717175,53.547796001772255,46.6,중립
2017-02-10,88.91159092155586,77.77340213543663,,1.3624863761812298,44.01829660389674,43.178052464484416,51.0,중립
2017-02-13,90.58718246881813,80.51204706251896,,1.7059157906111084,61.24905717418435,42.40837154221807,55.3,중립
2017-02-14,91.54095416744879,76.47041426926864,,3.6172989438170537,53.6518637839711,42.954846236841114,53.6,중립
2017-02-15,92.51048539680525,83.98512825195606,,9.196710539737696,65.49045271442108,59.734073449975135,62.2,탐욕
2017-02-16,92.84132746492075,81.98028452960511,,21.217559571981514,61.02460309931826,48.24703120933206,61.1,탐욕
2017-02-17,92.69985692414433,80.4902609380947,,25.422940238082752,35.56979499835185,46.83348612976903,56.2,중립
2017-02-20,92.46674798689526,83.21543801014771,,29.72559316199431,71.41264176939339,45.95324251235818,64.6,탐욕
2017-02-21,89.41531324427658,93.4239559662096,,27.601426688890207,77.63269040218266,77.36339138543622,73.1,탐욕
2017-02-22,89.27834347603839,94.3125564719817,,28.222852593318283,92.85294080050349,87.56086846874223,78.4,탐욕
2017-02-23,89.20551645810704,94.2308769863995,,38.38074552061713,92.30727918018398,85.55893755665807,79.9,탐욕
2017-02-24,85.6711839187461,87.21636961089868,,48.165634409646266,67.55504783719672,65.12797650873068,70.7,탐욕
2017-02-27,88.15857573662473,80.41741407990295,,51.926998776373104,56.14763399993691,34.91479345568182,62.3,탐욕
2017-02-28,91.43269937306486,84.65333961466843,,63.31142635513392,80.68087516094347,58.120512493905785,75.6,탐욕
2017-03-02,91.84953186117079,90.75238645384405,,79.06804489384807,87.06993747062697,64.84617529937428,82.7,극도의 탐욕
2017-03-03,84.56226848686521,72.0293691326001,,88.93538105749161,43.9112881870399,55.916601271833485,69.1,탐욕
2017-03-06,84.42484499158002,74.15506558182598,,91.1400390306329,42.70549577525254,57.4186464666784,70.0,탐욕
2017-03-07,82.10153204145861,84.45401106515298,,87.07175660499766,62.94075899602352,71.97056242820969,77.7,탐욕
2017-03-08,82.20265760054633,84.89657431348184,,82.4104640731895,54.33421687203575,79.01786885220106,76.6,탐욕
2017-03-09,83.79520301803109,81.18568441551307,,75.04868600289925,50.974166962001654,83.9873686400129,75.0,탐욕
2017-03-10,83.30720788230768,85.56120928050521,,75.18705454284981,59.805202643349844,89.01504412985506,78.6,탐욕
2017-03-13,78.22540133923589,94.97365455489201,,66.7763906289716,73.75356222758133,88.1014011808897,80.4,극도의 탐욕
2017-03-14,74.69662353261528,98.09138403820755,,74.92868394458453,72.05065424873962,93.41413185437091,82.6,극도의 탐욕
2017-03-15,75.31298838483946,97.65350127234525,,72.73736217024755,68.22889072696185,94.27180122535755,81.6,극도의 탐욕
2017-03-16,72.37831216889005,99.15777606789617,,69.86375582379812,78.79429803603408,90.4973596373061,82.1,극도의 탐욕
2017-03-17,70.82238669042776,99.6359179156823,,43.737936372511115,93.27905557979493,95.82020444584396,80.7,극도의 탐욕
2017-03-20,68.76035863965748,99.11980649104824,,29.319703206186652,93.6445773095282,94.71738676269239,77.1,탐욕
2017-03-21,63.15737912334998,99.76884300182928,,22.167072342513126,95.45484939010713,96.15671207006328,75.3,탐욕
2017-03-22,63.73231820419566,99.3094012697065,,21.93494439999848,88.63604365714282,83.04438747266722,71.3,탐욕
2017-03-23,63.68402004251676,99.34980334995701,,16.82582460171249,98.39225171496437,76.61732096041773,71.0,탐욕
2017-03-24,62.798580767096105,98.9428543097207,,24.04190482484987,97.36638811603038,78.31573072574443,72.3,탐욕
2017-03-27,63.16591547297171,97.18924590514575,,40.244345327293686,89.49169880728091,83.69792715370674,74.8,탐욕
2017-03-28,65.82315360881894,97.94508213128248,,51.14847526926266,90.87237523093872,90.56974724289086,79.3,탐욕
2017-03-29,65.8995468286575,98.0779487644707,,73.57849275472958,93.67837943115997,91.22483321385899,84.5,극도의 탐욕
2017-03-30,66.39921718276878,97.48851286317998,,91.72082030309274,91.26021517384173,79.54291903896433,85.3,극도의 탐욕
2017-03-31,80.02189791646983,96.39853755732402,,94.90343319288434,80.73456659408136,87.90825412122494,88.0,극도의 탐욕
2017-04-03,79.82897727073747,97.25761227252508,,95.21283916399183,75.57218718743674,88.32015574053757,87.2,극도의 탐욕
2017-04-04,79.38605416276587,95.73283734036795,,96.53328723986134,68.71053495499682,67.22922539018697,81.5,극도의 탐욕
2017-04-05,79.14362469280002,95.28497234638125,,92.53673625790648,51.3654852786855,66.57343391242279,77.0,탐욕
2017-04-06,77.83135891784781,92.59856480911537,,82.32630184172184,22.498296823526886,61.61357204467328,67.4,탐욕
2017-04-07,77.69365242427172,91.77072683279077,,81.70199349054525,29.8032134900117,61.55830088934559,68.5,탐욕
2017-04-10,76.83020839922793,82.44107981853699,,87.17944507273039,1.7784770670127668,36.15021473338225,56.9,중립
2017-04-11,79.93277597838986,75.46785270540461,,82.10758890241544,1.9309629393972638,15.570203717316211,51.0,중립
2017-04-12,79.4036740174603,78.28682433733958,,66.92973453594884,2.2077416073277303,19.49962821252814,49.3,중립
2017-04-13,77.63222820966395,88.69520426101963,,50.57080297596013,16.448859786621973,28.119858896013127,52.3,중립
2017-04-14,78.84710807158679,80.57944784434295,,45.23751261687837,16.17339817825175,11.330791616132984,46.4,중립
2017-04-17,77.05798412328528,86.20333516214707,,19.207284781540483,19.314594340228457,20.38689580148731,44.4,중립
2017-04-18,85.41963683578858,86.9390413292368,,7.450204272094396,18.356394419197052,13.440278039321402,42.3,중립
2017-04-19,85.25750319019025,80.622336934775,,4.9812636513022435,13.824227142906247,10.487553884900159,39.0,공포
2017-04-20,83.27472291349753,86.1183377551553,,3.254195702535844,27.186549039269703,15.52999599958374,43.1,중립
2017-04-21,78.5506710086801,92.2303053173643,,1.8508468911582354,36.235765585904765,28.169556402782437,47.4,중립
2017-04-24,80.51725600895422,94.28443345858226,,4.358351246611807,51.93725270351105,56.84617866961106,57.6,중립
2017-04-25,72.558552175356,97.95697204715783,,4.693143541441728,70.00760806319045,68.95915885248291,62.8,탐욕
2017-04-26,71.00842475658892,98.67538386611692,,8.544793880894725,82.3741291736792,73.54024475895864,66.8,탐욕
2017-04-27,71.32002546569149,98.53340401628655,,20.405378371499776,83.7243535553127,75.91142593007905,70.0,탐욕
2017-04-28,71.36663549555222,97.82718795289263,,22.9175170757529,92.64299063981012,73.82942419027167,71.7,탐욕
2017-05-02,69.18868493405961,98.78021435886951,,17.8277968001112,97.40419950277187,82.15762038937456,73.1,탐욕
2017-05-04,64.82282438637634,99.54439840092633,,21.928266677451408,98.01746608541718,95.22465113697587,75.9,탐욕
2017-05-08,30.249544179629652,99.97694076388171,,17.014659139843708,98.66352848199567,99.7802644799774,69.1,탐욕
2017-05-10,23.19194569902777,99.81222727609531,,22.650827603155232,97.374381689309,99.38706413167952,68.5,탐욕
2017-05-11,20.135501241388766,99.94317584483528,,46.08419411155993,97.71343408782327,99.90243217431154,72.8,탐욕
2017-05-12,24.53093106174194,99.82377263768328,,58.112877768046175,95.64627046509699,99.8670092426317,75.6,탐욕
2017-05-15,28.436126880063313,99.79405620091643,,65.28947574912836,97.51040337198135,99.9178715604579,78.2,탐욕
2017-05-16,28.494670065169387,99.76737214845582,,78.14642012159527,97.2209809371684,99.91083911000004,80.7,극도의 탐욕
2017-05-17,29.38354552626916,99.62526402395447,,73.4152179951257,95.96812637550049,99.71795010182419,79.6,탐욕
2017-05-18,33.391356561697464,99.30857484848245,,61.92842619454897,93.45746722849746,99.75130775507414,77.6,탐욕
2017-05-19,33.21179858906768,99.1662694249989,,67.81684272304587,90.70547395763495,99.49877727092031,78.1,탐욕
2017-05-22,32.81720342354497,99.47097127212857,,76.98463900256351,91.25643202893994,99.70934755114605,80.0,탐욕
2017-05-23,38.12189351157974,99.50528892448456,,73.99083534998508,91.92945492926353,99.9253607821332,80.7,극도의 탐욕
2017-05-24,38.25349929908101,99.48497902998248,,71.23419172397624,93.87090775762637,99.86404831340204,80.5,극도의 탐욕
2017-05-25,35.53944671388611,99.7837980729459,,67.40081646908972,94.71543036031274,99.85403849621758,79.5,탐욕
2017-05-26,35.604194297440756,99.82357003373397,,55.008042878106856,93.92883109720246,99.72411366537554,76.8,탐욕
2017-05-29,37.62880505148679,99.71206908989191,,50.31841694523028,82.9022087773158,99.08577843185964,73.9,탐욕
