uXtnsgTrBrY	The Tragic Collapse of a Success Story! The Shocking Reasons Why Singapore, Once Asia's Most Pros...	NA
iF9s4fok-3A	"Hynix can never catch up." Samsung Electronics' secret weapon that can never be caught up | Prof...	NA
AENB2tvGbZM	There's a real danger in being fooled by the current news that China is doing well. Professor Kim...	NA
XtSOSJbWBbk	Even with a young leader, it's not easy... Ultimately, if the organization doesn't change, the tr...	NA
_7K-93M5CFg	Samsung Electronics rose 9%? The conclusion to the dollar-conversion rate debate... If you don't ...	NA
6IBbP5W5jhI	[Review] Peter Thiel, who declared the end of American democracy, and the movement to become empe...	NA
2FPIVm47b-Y	Five Sports with Inimitable Technological Prowess Have Something Scary in Common | Professor Kim ...	NA
jboIb19RnR8	Why Did Trump Target Venezuela First? | Professor So Hyun-chul, Sangji University [Full Video]	NA
wf7MJrKGQIc	The End of Tesla's Monopoly? The Prelude to Nvidia's Counterattack | Show Me the Yeonsur	NA
HNKiRBvup0s	[Breaking News] "If interest rates don't fall, I'll send you to jail." What will be the impact of...	NA
vQGJ9nFnFgU	The secret to resisting the temptation of short-term trading and earning tenfold returns! The mir...	NA
kBPCLGHWxNE	"Savings are meaningless now," Musk predicts of a high-income era.	NA
mePGSghLIak	The Combination of AI Agents and Crypto: Why Digital Assets Are Bound to Soar in 2026 | Yoon Soo-...	NA
YJJtB_Q2q94	For those of you who don't know what to do in this situation, I'll explain everything clearly.	NA
PVER-RRv86o	The Beginning of a Turnaround for Hyundai, Said to Be Over... The Shocking Reason NVIDIA Is Pushi...	NA
h3ZB6KD-S8Q	Why people say, "This time is really different"... How long will the semiconductor supercycle las...	NA
inJuWkxA8YI	The KOSPI 5000 is no longer a dream! The coming Korean Peninsula supercycle | Professor So Hyun-c...	NA
_j8Rq3b-DG0	What's Next for Venezuela? The Truth Behind Trump's Designed Balance of Power | Professor So Hyun...	NA
XHeoBV8O3Es	Is it okay to buy Samsung Electronics and SK Hynix now?	NA
wWupiGcqFLg	The Korea-China Summit: There Was More to the Truth Than the Results | Professor So Hyun-chul of ...	NA
BOnY6OcY8yw	"Gangster Diplomacy?" The Real Reason Maduro's Arrest and the US Takeover of the Western Hemisphere	NA
Df6ezBvqsiE	"1년 만에 500% 급등" AI 추론 시대 개막과 사상 최대 수익 낼 베스트 종목의 실체ㅣ쇼미더 연수르	NA
wAV-qp7fw1s	26-Year-Old Investor Keyword: This Thing Even the US and China Can't Beat | Kim Soo-jung, Head of...	NA
F2C14Layldo	[Breaking News] What impact will the US invasion of Venezuela have on financial markets?	NA
299ALvibTSM	Why we invest to save lives, not to make money	NA
edM8O5zZzk4	[Breaking News] KOSPI hits historic high! We'll tell you which stocks to buy now.	NA
Ty2MdJNn2r0	Are you worried about investing for 26 years? Just watch this video.	NA
uuW9XoArtko	All this this year? An 8-minute summary of 2025 investments.	NA
3cFWOlAgAqU	The 10% US GDP growth rate is definitely not a myth. The tables have turned.	NA
XGgbJmlRCmo	[Breaking News] The Real Reasons Behind the Sudden Price Fluctuations We Need to Know	NA
Uct0AF7jjQA	미국은 이미 덫을 깔고 세계를 조이기 시작했습니다ㅣ고승연 LG경영연구원 박사 [풀영상]	NA
F9psUuxdIrk	The AI ​​war continues in the new year! NVIDIA's $28 trillion bet | Show Me the Yeonsur	NA
J50Gl5e8fGY	거장의 이름을 걸고 AI 버블로 맞붙다 [먼슬리구루 12월 풀버전]	NA
clxhxG2H2Ds	The real mistake isn't the timing of the cut.	NA
FmqWlord0hs	How to Apply Hegemony and Shifting World Order to Investing | Dr. Seungyeon Koh, LG Management Re...	NA
bnxdFlmDWAw	The core of the current bipolar system should be viewed like this. Dr. Koh Seung-yeon, LG Managem...	NA
Y-7UUKocmC0	AI hasn't even begun yet. The real competition starts in 2026.	NA
MCBWbprY0oI	An unprecedented security subscription system! The US's approach to allies has changed | Dr. Ko S...	NA
O5LU87o5dL8	The US economy is in dire straits in 2026... Tariffs, the World Cup, and Independence Day are on ...	NA
cz7xSbWxpu4	As AI's bottleneck shifts, Hynix is ​​summoned again | Z1 News, Week 4 of December	NA
oCKRsc90eT0	[Breaking News] An unprecedented policy has emerged, promising unprecedented benefits to returnin...	NA
GCUOlkLX1NY	Bitcoin looks disappointing, but the real problem lies elsewhere.	NA
N16Xr9h3FQA	Has the market gotten smarter or dumber? Cliff Asness's view of the investor's era [Monthly Guru ...	NA
caVFXzU1jb8	In Part 1, someone said Bubble... That's complete nonsense. [Monthly Guru December Part 2 - Tiger...	NA
OmfzcRbJplQ	Just wait and see. The AI ​​bubble will cause a complete collapse within two years. Michael Burry...	NA
dh88i_l743Q	The United States, which quietly grew its fortunes, is now facing a surge in "legal gambling." As...	NA
z2szMPGVEFA	OpenAI on the Brink | Show Me the Yeonsur	NA
od2mDAhUp_U	How SpaceX Is Changing the AI ​​Data Race	NA
9gPsoohkLzc	The Two Things a True Long-Term Investor Looks For | Stuart Dunbar, Partner at Bailey Gifford	NA
CXAFwZ6eI4M	Will the KOSPI go higher? Look forward to next year | Rep. Lee So-young of the Democratic Party o...	NA
U9zFSYnHW5Q	Why is the AI ​​industry growing only for those with data? | Jeong Hee-seok, PB, Hana Securities ...	NA
-GVV4TaA7uc	"AI Bubble Death Sentence?" Markets on the Guillotine... One Misconception Individual Investors A...	NA
hgs0UOq5QVU	The real benefit after the H200! The AI ​​money rush begins. Monthly Asin December [Full Video]	NA
L4TS_UcE_4g	[Breaking News] Oracle Shock. Is AI over?	NA
pA4wxnzy4lI	We asked Tesla employees directly why they are shunning FSD. Former Tesla engineer Maeng Seong-jun	NA
gvrm6H0_rDQ	One Thing	NA
o374uS5-vqg	주가 누르는 재벌기업들 내년에는 어림도 없는 이유ㅣ이소영 더불어민주당 의원 [3부]	NA
CDLvI5Z1Hr0	This isn't a tax cut bill. The essence of 'separate taxation of dividend income' | Rep. Lee So-yo...	NA
weY12udn7NA	꼬마빌당 팔고 배당주로 넘어가야하나? 고민하는 분들이 많이 생기고 있습니다ㅣ이소영 더불어민주당 의원 [1부]	NA
cljjZKtR9UU	The real moneymaker for AI semiconductors isn't GPUs. Monthly Asin, December 3rd issue.	NA
shSsGCyGBaA	The Greatest Money-Blooding Cycle Since Dangun Is Coming! Monthly Asin, December 2nd Edition	NA
GMnHD91W34M	Is AI over? What's even scarier is this.	NA
kLG9Lj3dt5s	The world's third leader: A once-in-a-millennium opportunity has arrived for K | Author Lee Byeon...	NA
c_w0qjj830U	The Oracle-Broadcom Shock: It Wasn't AI That Was Broken, It Was This That Was the Problem ⎮ Month...	NA
ma1a118qeq4	Whenever I started releasing money, the same thing happened	NA
rm9csFHDnZw	Don't expect to outlive your assets.	NA
zJ_L82T8IyQ	[Breaking News] If the Fed releases money, you should earn it like this.	NA
4Pw2b2eqf5U	2026년 투자 트렌드는 AI·로봇·반도체 없이는 대화가 불가능합니다 [스파클링 투자클럽 풀영상]	NA
b-U8ZxFDfJU	[Breaking News] I'll just say one thing: Don't be scared.	NA
ho5MaRAIZKI	[Breaking News] Powell, now a senior sergeant, says, "I'm a queen dove now, too." | December FOMC...	NA
Iv6bnsubPBA	"US Soldiers' Hearts Stopped"... Trump's Emergency Call to Palantir Reveals the Real Crisis Hidde...	NA
w68hozrmRmA	You only have until 1:00 PM on Saturday the 13th. You have to hurry.	NA
1PVOOuMT1Kw	The Shocking Reason Why Nvidia and the US AI Ecosystem Will Collapse If We Stop Selling Chips to ...	NA
dqKOZ58B0Ms	AI로 무장한 공산당 더욱 강력해진 놀라운 이유ㅣ이병한 작가 [1부]	NA
VKwrz8kxWyA	[Breaking News] It looks like an extreme super dove will be elected as Federal Reserve Chairman.	NA
1Tb5nQfoeXc	OpenAI on the Brink | Show Me the Yeonsur	NA
bSxZdlWu0-U	The FOMC, which will mark the end of 2025, is coming. And thank you, Powell, for your hard work! ...	NA
iEyftheA4G0	Data centers are at 97% capacity. This is the final warning before the surge. | Kim Soo-jung, Tea...	NA
Lap0x2_7fws	Insider Insights from Lockheed Martin, the Global Defense Industry Leader, on the Shocking Ending...	NA
24Tu1g3bepM	HBM is Growling Factories, DRAM Supply Evaporates! Prices Soar [Sparkling Investment Club]	NA
NCz3vfyT9cQ	Even lawyers' jobs are at risk. AI is in real trouble [Sparkling Investment Club]	NA
vbE3hFoOjfw	America has changed	NA
2nzUyiKrZiY	Oh no... It's happening so much faster than expected.	NA
0duMbtqTqk8	Global oil refineries are in shambles, and this place is poised to devour them all in one gulp | ...	NA
j0Civ2n9DTA	Tesla Rekindles the "21st Century American Dream" [Sparkling Investment Club]	NA
0FJTs4p4ADs	The Shocking End of Labor Income | Yeonsur, a U.S. Stock Expert	NA
VBnhTmGxOWQ	Korean stocks finally abandoned, investors begin to escape despair | Hong Chun-wook, CEO of Prism...	NA
Lw4cr7X6a_A	"AI Wars? You guys should handle that amongst yourselves." The shocking reason Apple is just watc...	NA
BnyKjmlgnxc	Gasoline prices break even the 1,800 won barrier... The real culprit behind the soaring oil price...	NA
pWh_KCFF3Fs	The Korean market will grow even bigger in 26 years! If you miss this opportunity, you'll miss ou...	NA
ahouzMwO3S4	A 30-something investor who helped his acquaintances succeed: I'll share this practical, condense...	NA
YNcba1oI5mo	[Breaking News] Bitcoin's Rebound: Behind Its Rise, North Korean Hacking	NA
RcHpAA_eO_4	The Truth About AI Data Centers Revealed from the Industry Front Line [Sparkling Investment Club]	NA
NCzf1caGDeQ	A gift to me	NA
r7evgPSjnL4	What's happening with Bitcoin's plunge at the beginning of the month? [I don't know]	NA
d8emo41vWdw	The 2026 market signals are ominous. Next year's market will be anything but ordinary. Here's how...	NA
j_bURQEryK4	This company is on the verge of becoming a millionaire without anyone knowing | Yoon Jae-seong, r...	NA
7_Y-3PT1NVg	What I wanted to tell my daughter after riding the Tesla FSD for the first time	NA
Hr_Jwb7GkKE	The bull market that everyone's been missing is coming | Jaeseong Yoon, researcher at Hana Financ...	NA
Gv29fpX4GDA	concentration	NA
sg1ppLcAfZM	Why Everyone Who Follows Buffett Ends Up Failing | Lee Hyo-seok Academy Original CEO Park Sung-ji...	NA
-llGM30yVFo	[Breaking News] People Who Say China Will Fail vs. People Who Say America Will Fail	NA
qA24EGvIGAM	"지우개로~ 기억을 지울 수만 있다면~"ㅣ이효석아카데미 오리지날 박성진 대표 [버핏 2부]	NA
n2v7KekWSiM	Could this be the signal for the next Fed chairman's Santa rally?	NA
yg3T42sHadg	Warren Buffett on "The Fear of Other People's Money" | Lee Hyo-seok Academy Original CEO Park Sun...	NA
yGKtZKUYw74	Crazy Rising Prices, Crazy Falling Trump Approval | Week 4 of November, Z1 News	NA
prrk3ARsKT0	A 10-Year Timeline of Musk's $1 Trillion Compensation Package Is Creepy | Dr. Kang Jeong-soo of B...	NA
cgMBNIF9rfU	[Breaking News] Introducing the Next Federal Reserve Chairman: The America We Used to Know Is Gone	NA
ZcsZNz7Aa3c	Google's Alphabet is soaring! Should you buy now? Here's my thoughts | Week 4 of November, Z1 News	NA
p_ag25aaP4g	The US-China Hegemony War? It's Already Over: China's "Own Goal" Policy | Hong Chun-wook, CEO of ...	NA
9gw6Ka6gEDE	Noah's Ark in the AI ​​Age	NA
eEtaDx5vI7I	Why Bitcoin Is Falling and Why It's Likely to Rise [Moraguhyo]	NA
RU0Zy0tQG5c	The Market Is Crumbling, But Gold Is Still Rising | Hong Chun-wook, CEO of Prism Investment Consu...	NA
jRt_E7XXX0M	In my view, the exchange rate can only go up. Hong Chun-wook, CEO of Prism Investment Consulting ...	NA
axX14kcZC30	Manager Kim	NA
er__jYjnM1s	[Breaking News] Bitcoin's sudden disappearance was due to "this."	NA
SqvKf3ORUyw	Don't miss out on the 1.48 million won refund this year-end tax season!ㅣHanna ETF	NA
BCtACp1CAmk	My head is spinning. I'm sharing all the shocking investment insights I've heard.	NA
WrkSEokcT04	Bitcoin hits $80,000! My honest thoughts | Z1 News, Week 3 of November - Part 2	NA
anh1UU87NKg	It's not a 'danger', it's a 'gift'	NA
BMO0Fdim4DQ	Nvidia's "No Bubble" Bubble Controversy: Investing the Right Way | Week 3 of November, Z1 News - ...	NA
eB7WII1-hM8	Tesla's FSD will change the world faster than electric vehicles | Dr. Kang Jeong-su, Blue Dot AI ...	NA
caARims-HYM	AI 시대의 진짜 병목은 GPU가 아니라 '이것'ㅣ강정수 박사 블루닷AI [2부]	NA
mhAwpa9L3Ws	Everyone, please gather at the theater at 4:00 PM on Sunday, December 14, 2025.	NA
5cReRqiWDzA	Jensen Huang on What's Scarier Than an AI Factory | Dr. Kang Jeong-soo, Blue Dot AI [Part 1]	NA
ofdO7BuB3Bc	How to Invest with a 300% Profit Even During a Bitcoin Crash	NA
Px9cpYalfK4	[Breaking News] Entering the Extreme Fear Zone: How Should We Respond?	NA
m1Ir1Z3_qSs	AI Investing Will Be Easier in the Future. Invest 'This Way' | Yeonsur US Stock Expert [Part 2]	NA
Blfdyk67uHM	The once-iron-clad US market is finally changing | Yeonsur, a US stock expert [Part 1]	NA
HzdgGur1fwg	Why Big Names, From Son to Peter Thiel, Are Throwing Nvidia Away [Moraguhyo]	NA
yRvwSM53_pE	Warren Buffett's Last Bet: Google! | Weekend Briefing	NA
pk4m5I12c2Q	What's Coming Now Is Not a Bubble, It's a Wave | Jeong Ju-yong, CEO of Gravity Ventures [Part 3]	NA
55En5PWXLx8	An AI bubble? Not at all. It hasn't even started yet. Jeong Ju-yong, CEO of Gravity Ventures [Par...	NA
q1ntO2ps6s4	You Can't Respond to a Crisis Without Cash: How to Stack Like Buffett | Lee Hyo-seok Academy Orig...	NA
MvoxNnRNEyU	What Tesla Doesn't Have but Waymo Has | Jung Joo-yong, CEO of Gravity Ventures [Part 1]	NA
iZJo32mhV2Q	Two people moving towards the same goal in completely different ways	NA
_HmNPUPiFjw	Elon Musk vs. Sam Altman: Who Will Become the AI ​​King? | Former Tesla Engineer Maeng Seong-jun	NA
B5LLuETVvso	Buffett's Must-See Advice for Leveraging | Lee Hyo-seok Academy Original Pro Chae-jin Jeong [Buff...	NA
8YxVNoKpZJE	Why were all the predictions of an economic downturn wrong? | Lee Hyo-seok Academy Original Pro J...	NA
5C_n66Y5HS8	[Breaking News] I suddenly turned on the camera during the lecture. Regarding the Bitcoin plunge.	NA
LMZsQPBJ2PI	Things unimaginable in the US are still happening in Korea. Kim Kyu-sik, Vista Global Asset Manag...	NA
Npyzk88P3y8	[Breaking News] Stopping the release of economic indicators after the shutdown? What's the US thi...	NA
MigmfA_vGIM	Samsung Electronics' New Wind: This Is Its Secret Weapon⎮Monthly Asin November Full Video [IT God...	NA
LdBiLx2IW6Q	What Happens When the Exchange Rate and KOSPI Rise Together | Kim Jun-young, Researcher at DS Sec...	NA
UsYMnq6XWnM	Why South Korean Heavy Equipment Is a Big Hit in Africa | Z1 News, Week 2 of November - Part 2	NA
rwV4GE7Itgs	Is the won really trash?	NA
h-64QEUBx1g	In the AI ​​era, the masters are turning their attention to this asset. [Monthly Guru November Fu...	NA
BDUmtx183z8	My honest thoughts on Chairman Son's decision to sell all of his Nvidia shares | Z1 News, Week 2 ...	NA
xrnyrhFIGZU	South Korea Still Has a Long Way to Go | Jae-kwon Son, CEO of The Milk [Full Video]	NA
nAYpInLkvng	Samsung's Real Secret Weapon to Take Down TSMC - Monthly Asin, November 3rd Issue [IT God CEO Lee...	NA
rJmz4OxvU-k	In my view, Hynix and Samsung Electronics will go up to 70%. Monthly Asin, November 2nd issue [IT...	NA
yEc2G3nPFBg	What Investors Need to Know About the HBM4 Price Hike - Monthly Asin, November 1st Issue [IT God ...	NA
muXIbnW-CSE	The exchange rate is crazy. Here's what I think. [I don't know]	NA
LSTjyk2v7jM	Also Bitcoin	NA
G2BKGok1i6Q	Why There's No Need to Discuss the End of the KOSPI Rally | Kim Jun-young, Researcher at DS Secur...	NA
gsFKoy3Cacc	1조 달러 받게 된 일론 머스크 바로 옆에서 보면 이렇습니다ㅣ맹성준 전 테슬라 엔지니어 [풀영상]	NA
MUznmZdA5sI	The Fed's Independence in Monetary Policy Was Just an Illusion | Kim Jun-young, Researcher at DS ...	NA
HaJJJi3cCz0	What Stopped the US Economic Downturn and Made the Dollar Stronger | Kim Jun-young, Researcher at...	NA
m0VmDXWDOwI	Is it an adjustment or a crisis?	NA
AyBOnSMtYrQ	The Surprise Approval of Nuclear Submarines That Shocked Everyone | Professor Moon Geun-sik [Full...	NA
p6iY6nrrpX0	Move by gut, not data. The power of intuition proven by the Great Guru [Monthly Guru, November 3 ...	NA
gWuEZXJtbOU	If You're Not Buying Gold Now, You're a 'Rookie': Golden Advice from a Wall Street Legend [Monthl...	NA
DNcBam5YrDw	[Breaking News] AI Bubble Collapse Scenario	NA
_Xe-xNPMNKI	A flurry of good news! Can Doosan Enerville succeed? | Week 1 of November, Z1 News - Part 1	NA
f_56vWQE1qI	The AI ​​Boom Is All Fake. The Answer Lies in "This Asset" [Monthly Guru, November 1 - Lacey Hunt]	NA
WdKZvVrHGJc	Tesla and Elon Musk's $1 Trillion Compensation Plan! Why Elon Musk Must Accept It | Z1 News, Week...	NA
_x2uG8rjp38	Please, let's make it a bubble... This is what everyone is going through. Son Jae-kwon, CEO of Th...	NA
TNsVgD6ww9Q	How to Invest Wisely in a Challenging Market | Z1 News, Week 1 of November - Part 1	NA
byDuTfdxKKE	A landmark event has broken out in Korean industrial history. Son Jae-kwon, CEO of The Milk [Part 1]	NA
ssgWeYldYXM	Repairs to US warships will take five years. SOS to HD Hyundai Heavy Industries | Professor Moon ...	NA
qGWJ2h-yxPg	[Breaking News] Here's what I think about the KOSPI's recovery.	NA
XWsZXQUjzok	[Breaking News] Bitcoin Price Plummets! Here's My Thoughts	NA
A4mSI_6PcZw	Why Nuclear-Powered Submarines Are Bringing Opportunities to Korea | Professor Moon Geun-sik [Par...	NA
Cc6WfQnRSB4	[Breaking News] "This Time It's an AI Bubble": Betting Fully on Palantir Stock Price Decline	NA
0M8hwjXH9rU	Going forward, you should view Hynix stocks in a completely different light. [Moraguhyo]	NA
UEVbGAY2rLU	Trump Approves, But South Korea Still in Meeting | Professor Moon Geun-sik [Part 1]	NA
nU0Wf_ylXmE	[Breaking News] Berkshire's record-breaking cash holdings fuel the growing AI bubble debate.	NA
n362opttu3s	The Korean Peninsula Discount Is Over: It's Now a Premium | Professor So Hyun-chul, Sangji Univer...	NA
sRHfILrpgJI	The Real Reason Warren Buffett Sticks to US Stocks | Lee Hyo-seok Academy Original Hong Jin-chae ...	NA
jqwV1NjfFR0	Trump's "Big Picture" Behind Nuclear Submarines | Professor So Hyun-chul, Sangji University [Part 1]	NA
_FSzW3vHcdg	In the era of KOSPI investment, buy this now [Hanna ETF]	NA
I5slbZTCcwQ	The real bottleneck in the AI ​​era isn't semiconductors, but electricity. | Kim Soo-jung, Team L...	NA
quoo1igfZQk	Jensen Huang, who made a lot of kanbu after coming back to Korea after a long time | Weekly News ...	NA
6QV2zQ6oBTg	We're the ones who are the culprits	NA
87TvvBmBqk0	[Breaking News] Beware of These Things in November	NA
Xqho6qe-7IU	I think we will do QE next year	NA
FiD9UeT8fxo	The three stocks I can tell you about with certainty right now are 'these' | Z1 News, Week 5 of O...	NA
EDxW86vzmqc	[Breaking News] Two Big Positives Hidden in Powell's FOMC Remarks	NA
uQ6INq0PRtc	Nvidia is closing down its chip business(?) | Z1 News, Week 5 of October - Part 2	NA
vpZVprALMj4	Silicon Valley's Biggest Issues, Little Known in Korea | Former Tesla Engineer Maeng Seong-jun [P...	NA
j_QJZT8aYc0	Why President Trump Loves Korea So Much | Z1 News, Week 5, October - Part 1	NA
MU_UHrf5ZMA	Power equipment requires a longer-term perspective. These stocks still have a long way to go. | K...	NA
uT-wYlBbDbE	The Chinese believe they'll truly win if they go to war with the US. [Full Video]	NA
E0GrkSQ9DrM	팔란티어를 넘어서는 AI기업은 나올 수가 없어요ㅣ변우철 KT 본부장 [풀영상]	NA
_g7RqdBZo-g	"The Age of Electric Vehicles Has Arrived" Is Thoroughly False | Former Tesla Engineer Maeng Seon...	NA
wtljK6dILCM	Why I Trembled Working for Musk | Former Tesla Engineer Maeng Seong-jun [Part 1]	NA
