TMPV1,TMPV2,TMPV3,TMPV4,TMPV5,TMPV6,TMPV7,TMPV8,TMPV9,date
20150911,642590801,318011443,324579358,1995906,1517757,478149,0,1054073473,2015-09-11
20150914,641954430,315746566,326207864,2180101,1680225,499876,0,1057329741,2015-09-14
20150915,647582667,319221404,328361264,2107934,1596660,511273,0,1052469952,2015-09-15
20150916,649028163,319897774,329130389,2032418,1574336,458083,0,1068308089,2015-09-16
20150917,650428108,320050312,330377796,2027347,1535547,491800,0,1071027002,2015-09-17
20150918,650364344,317146488,333217855,2220830,1736944,483886,0,1051634995,2015-09-18
20150921,650483909,315458341,335025568,2215867,1736184,479683,0,1053211200,2015-09-21
20150922,652445031,314183958,338261073,2246663,1715952,530711,0,1050071656,2015-09-22
20150923,657904848,317500355,340404493,2071338,1497181,574157,0,1057078933,2015-09-23
20150924,661325737,316774421,344551316,2014336,1496944,517392,0,1057702318,2015-09-24
20150925,663977124,318818735,345158389,1923176,1426063,497114,0,1057011102,2015-09-25
20150930,664390490,320007556,344382934,1904756,1382833,521924,0,1061331500,2015-09-30
20151001,665240329,320183273,345057055,1926476,1385960,540516,0,1060249467,2015-10-01
20151002,666637568,319980311,346657257,2005137,1470645,534492,0,1060420211,2015-10-02
20151005,666226374,318525347,347701027,2135370,1580774,554595,0,1060812810,2015-10-05
20151006,669635832,320347475,349288357,2180707,1605860,574847,0,1062381186,2015-10-06
20151007,670536742,321507557,349029184,2164875,1683350,481525,0,1065084655,2015-10-07
20151008,670604066,321082278,349521787,2234173,1768477,465695,0,1069704451,2015-10-08
20151012,670103845,320301715,349802130,2100295,1683769,416526,0,1072127283,2015-10-12
20151013,667664521,318345900,349318621,2240321,1832241,408080,0,1070102095,2015-10-13
20151014,665629656,316900396,348729260,2155446,1766193,389253,0,1068069820,2015-10-14
20151015,666150488,317059248,349091240,2096025,1701751,394274,0,1074270204,2015-10-15
20151016,666852264,318253207,348599057,2193556,1785862,407694,0,1082137463,2015-10-16
20151019,667821919,317892123,349929796,2279910,1879991,399919,0,1078140005,2015-10-19
20151020,669616101,318202939,351413162,2351870,1917440,434430,0,1084048971,2015-10-20
20151021,671226475,318106498,353119977,2394523,1944483,450040,0,1088122156,2015-10-21
20151022,673513750,319523564,353990185,2481031,2006099,474932,0,1091726252,2015-10-22
20151023,677274912,322029238,355245675,2499635,2037230,462405,0,1102154952,2015-10-23
20151026,678113314,324111786,354001528,2393168,1956695,436473,0,1105842160,2015-10-26
20151027,676560547,322091079,354469468,2584012,2141937,442075,0,1115667934,2015-10-27
20151028,675195593,320850555,354345038,2640711,2151066,489645,0,1118432475,2015-10-28
20151029,678637115,323372081,355265034,2590854,2159261,431593,0,1119118645,2015-10-29
20151030,681540689,325261859,356278830,2508014,2075374,432640,0,1130914927,2015-10-30
20151102,683311821,326959118,356352703,2462785,2036468,426317,0,1100343692,2015-11-02
20151103,680788905,325206548,355582357,2306774,1901268,405506,0,1105570027,2015-11-03
20151104,679282284,323207206,356075078,2450998,2037158,413840,0,1108642901,2015-11-04
20151105,678328382,321584799,356743583,2489986,2074210,415776,0,1121369849,2015-11-05
20151106,677186907,319975197,357211710,2583507,2191332,392175,0,1121485849,2015-11-06
20151109,680447801,321491054,358956747,2508599,2073219,435380,0,1104123983,2015-11-09
20151110,684009100,322802202,361206898,2407659,2015413,392246,0,1108672315,2015-11-10
20151111,678378174,320610817,357767357,2164097,1810613,353483,0,1106855306,2015-11-11
20151112,669058559,316555146,352503413,2009358,1711872,297487,0,1104312764,2015-11-12
20151113,668580467,316996450,351584017,2105804,1733457,372346,0,1102052705,2015-11-13
20151116,670833025,318693233,352139792,2121681,1674652,447029,0,1101517824,2015-11-16
20151117,671707892,319256543,352451349,2120805,1691220,429586,0,1104038590,2015-11-17
20151118,666582391,316357927,350224464,2105686,1676397,429288,0,1103360414,2015-11-18
20151119,667636200,317462576,350173624,2155837,1701250,454587,0,1102816517,2015-11-19
20151120,668399347,318046442,350352905,2204257,1745865,458393,0,1102155757,2015-11-20
20151123,669506480,317737259,351769220,2272872,1822814,450058,0,1092852964,2015-11-23
20151124,670809834,317886020,352923814,2303798,1813871,489927,0,1094878170,2015-11-24
20151125,672429155,319030887,353398267,2557219,2038430,518789,0,1094113936,2015-11-25
20151126,672458741,319071969,353386772,2513807,2045926,467881,0,1096404065,2015-11-26
20151127,674877372,320459646,354417726,2423615,1928065,495549,0,1098947087,2015-11-27
20151130,676605397,320695835,355909562,2543885,2020318,523567,0,1104312570,2015-11-30
20151201,675452599,319113035,356339563,2378138,1869717,508421,0,1105705723,2015-12-01
20151202,676340977,320749051,355591926,2229819,1733121,496698,0,1105053809,2015-12-02
20151203,675328430,318777542,356550888,2394028,1864020,530009,0,1104572000,2015-12-03
20151204,678001703,320045038,357956665,2358555,1791184,567371,0,1102579646,2015-12-04
20151207,680675014,322329165,358345849,2260750,1672662,588088,0,1104562456,2015-12-07
20151208,681613660,323636211,357977448,2152023,1544497,607526,0,1106262929,2015-12-08
20151209,681241800,323368192,357873609,2135996,1554753,581243,0,1109738341,2015-12-09
20151210,675613816,320981151,354632665,1916015,1439438,476578,0,1108382860,2015-12-10
20151211,672807795,319773751,353034043,1996336,1514630,481706,0,1107041866,2015-12-11
20151214,668230200,317564311,350665889,1934702,1450826,483876,0,1112229505,2015-12-14
20151215,666526474,317277272,349249202,1946669,1451675,494994,0,1114698651,2015-12-15
20151216,656879371,312133472,344745899,1851479,1331002,520477,0,1112690862,2015-12-16
20151217,654300743,311557826,342742917,1841038,1287720,553318,0,1109298235,2015-12-17
20151218,653927235,310582302,343344933,2052062,1483386,568676,0,1117775615,2015-12-18
20151221,652078717,309434465,342644252,2233000,1601100,631901,0,1103103306,2015-12-21
20151222,654863886,310967976,343895910,2135635,1519986,615649,0,1117530397,2015-12-22
20151223,658684844,312080675,346604169,2187878,1554708,633170,0,1104838376,2015-12-23
20151224,659322442,310793780,348528662,2288955,1641243,647712,0,1106359598,2015-12-24
20151228,655427780,306841075,348586705,2190192,1604412,585780,0,1107633817,2015-12-28
20151229,653621008,304634356,348986651,2059927,1500638,559288,0,1108360825,2015-12-29
20151230,652749850,303592320,349157530,1721700,1212699,509001,0,1095189032,2015-12-30
20151231,652436874,303430963,349005911,1721700,1212699,509001,0,1095680288,2015-12-31
20160104,653580999,306115425,347465574,1925859,1340815,585044,0,1100117197,2016-01-04
20160105,655026829,306666539,348360290,1951100,1352545,598554,0,1101705963,2016-01-05
20160106,654066207,307393509,346672698,2111939,1438078,673860,0,1105014485,2016-01-06
20160107,655886077,308309437,347576639,2136434,1454798,681636,0,1102382364,2016-01-07
20160108,660596612,310829659,349766953,2343220,1617836,725384,0,1105037697,2016-01-08
20160111,659370743,310896938,348473805,2236896,1565913,670982,0,1107176820,2016-01-11
20160112,662406811,311949603,350457208,2283766,1665618,618148,0,1112004393,2016-01-12
20160113,664674931,313747239,350927693,2283762,1663502,620260,0,1111840851,2016-01-13
20160114,664690557,313691891,350998666,2251739,1569467,682272,0,1116819640,2016-01-14
20160115,666536379,313336111,353200268,2418018,1770183,647836,0,1108737448,2016-01-15
20160118,669042627,314926801,354115826,2266050,1581775,684275,0,1111578256,2016-01-18
20160119,667826842,313702268,354124574,2281473,1600815,680659,0,1117551828,2016-01-19
20160120,668551423,314342860,354208563,2310312,1536775,773537,0,1119768531,2016-01-20
20160121,674640906,318132132,356508774,2278904,1538539,740365,0,1109845928,2016-01-21
20160122,670499154,318109929,352389226,2235585,1494747,740837,0,1111152990,2016-01-22
20160125,668142932,317309313,350833620,2450093,1648698,801395,0,1112100021,2016-01-25
20160126,668004479,315240195,352764284,2518276,1716519,801757,0,1109244875,2016-01-26
20160127,667280625,313325883,353954742,2730102,1885219,844884,0,1127845993,2016-01-27
20160128,671170069,316143444,355026625,2613993,1798009,815984,0,1130384860,2016-01-28
20160129,667942277,312362123,355580154,2722484,1853330,869154,0,1117352262,2016-01-29
20160201,670187435,313495795,356691640,2825904,1872697,953207,0,1119285395,2016-02-01
20160202,673888261,316606657,357281604,2843698,1939586,904113,0,1124365942,2016-02-02
20160203,673167750,314186063,358981687,3062267,2082154,980113,0,1123613638,2016-02-03
20160204,675642058,315667257,359974801,3021642,2055850,965792,0,1121411089,2016-02-04
20160205,677057623,316837230,360220393,2877053,1962747,914306,0,1124469718,2016-02-05
20160211,673475740,313951400,359524340,2904487,1933099,971389,0,1126756058,2016-02-11
20160212,668949721,310308960,358640761,2803125,1914474,888651,0,1129305041,2016-02-12
20160215,659372563,306075158,353297405,2483216,1665647,817569,0,1135072797,2016-02-15
20160216,637400783,296210727,341190056,2027935,1393885,634050,0,1129072869,2016-02-16
20160217,631530331,293812416,337717916,2245343,1556859,688484,0,1121705023,2016-02-17
20160218,630855334,293198378,337656956,2434363,1715525,718837,0,1117870065,2016-02-18
20160219,627458023,292255821,335202202,2714329,1860792,853537,0,1120842196,2016-02-19
20160222,628268770,290534010,337734760,2967243,1990726,976517,0,1121421831,2016-02-22
20160223,629668405,290321936,339346468,3064821,2058823,1005998,0,1115292238,2016-02-23
20160224,633563217,291962225,341600992,2987124,2014896,972228,0,1122656889,2016-02-24
20160225,634701410,291617829,343083581,2988614,2051460,937154,0,1123304550,2016-02-25
20160226,637032455,293404699,343627757,3175564,2118268,1057296,0,1119071652,2016-02-26
20160229,638516504,294297979,344218525,3221912,2170632,1051280,0,1124812968,2016-02-29
20160302,639499099,295207191,344291908,3178866,2136015,1042851,0,1135799591,2016-03-02
20160303,638014801,294380102,343634698,3134412,2049495,1084916,0,1140621319,2016-03-03
20160304,640043672,294906790,345136882,3234888,2182923,1051965,0,1138131994,2016-03-04
20160307,643469505,294929059,348540447,3072874,2185111,887763,0,1135661333,2016-03-07
20160308,648067618,298421998,349645619,3078288,2205624,872664,0,1136665508,2016-03-08
20160309,653032271,299802650,353229621,3044742,2162370,882372,0,1137032877,2016-03-09
20160310,656944268,301895892,355048376,2960414,2102779,857635,0,1142687972,2016-03-10
20160311,660492367,303699706,356792661,2971402,2094253,877149,0,1141174884,2016-03-11
20160314,662963541,305763721,357199820,3119827,2241025,878802,0,1145231539,2016-03-14
20160315,667053543,307908431,359145112,3066487,2188410,878077,0,1146864728,2016-03-15
20160316,670225055,310181470,360043585,2989086,2151070,838016,0,1148079263,2016-03-16
20160317,669814255,310159626,359654629,3027181,2168224,858957,0,1155586911,2016-03-17
20160318,673908907,312248494,361660413,3023467,2157725,865742,0,1155914943,2016-03-18
20160321,673275541,310400733,362874807,3198859,2300192,898666,0,1156302764,2016-03-21
20160322,675498262,311895703,363602559,3200590,2286735,913855,0,1160969529,2016-03-22
20160323,679440964,313510616,365930348,3259144,2320830,938314,0,1165352611,2016-03-23
20160324,680186674,312967326,367219348,3355433,2410489,944944,0,1158042136,2016-03-24
20160325,680822290,312291719,368530571,3268150,2354129,914021,0,1161749138,2016-03-25
20160328,681156528,312556482,368600046,3233155,2344161,888994,0,1162150573,2016-03-28
20160329,682989546,313287001,369702546,3210020,2337329,872690,0,1163722612,2016-03-29
20160330,682661330,312975383,369685947,3105727,2268834,836894,0,1165549319,2016-03-30
20160331,684200567,313023794,371176773,3185046,2281782,903264,0,1172996545,2016-03-31
20160401,686152450,314364840,371787610,3330319,2386659,943660,0,1169094037,2016-04-01
20160404,687913081,315526490,372386591,3260600,2337775,922825,0,1166921618,2016-04-04
20160405,690897830,318462576,372435254,3108585,2254936,853649,0,1171402701,2016-04-05
20160406,695156505,320558768,374597737,3233210,2323113,910097,0,1171770075,2016-04-06
20160407,698589728,322511721,376078007,3151353,2253469,897883,0,1175515313,2016-04-07
20160408,705174304,326860543,378313761,3208458,2318181,890277,0,1176268294,2016-04-08
20160411,707255865,327348262,379907603,3228637,2359607,869030,0,1167867789,2016-04-11
20160412,710015915,328829812,381186103,3163433,2324695,838737,0,1166002661,2016-04-12
20160414,710405769,328522133,381883636,3085442,2299390,786052,0,1175019002,2016-04-14
20160415,709189342,327164618,382024724,3115160,2309992,805167,0,1173444222,2016-04-15
20160418,703727906,322848151,380879755,3235570,2524908,710662,0,1171859657,2016-04-18
20160419,704173616,322631441,381542175,3111549,2434407,677143,0,1172703045,2016-04-19
20160420,705199712,323011800,382187912,3043492,2378869,664624,0,1173160968,2016-04-20
20160421,707859388,323306511,384552878,3073362,2386468,686894,0,1174319528,2016-04-21
20160422,709702638,324008470,385694168,3199719,2447203,752516,0,1174215331,2016-04-22
20160425,710588604,324142223,386446381,3201343,2472280,729063,0,1174398134,2016-04-25
20160426,714404465,326383601,388020864,3227849,2474744,753105,0,1189188899,2016-04-26
20160427,716978494,327203497,389774996,3171579,2435467,736112,0,1194551098,2016-04-27
20160428,720009530,328815885,391193645,3042915,2369233,673683,0,1199214478,2016-04-28
20160429,717166377,327750510,389415867,2976932,2273009,703923,0,1201934398,2016-04-29
20160502,718623267,327669809,390953457,3054918,2257530,797387,0,1194437140,2016-05-02
20160503,720569798,329360210,391209588,2959883,2181002,778881,0,1190749010,2016-05-03
20160504,718241084,329026555,389214529,2830032,2123301,706730,0,1191433905,2016-05-04
20160509,717837510,328426530,389410980,2994877,2200149,794728,0,1195481205,2016-05-09
20160510,719512850,330563098,388949752,2721263,1974436,746827,0,1198540269,2016-05-10
20160511,718764103,331114628,387649474,2680837,2005287,675549,0,1200328234,2016-05-11
20160512,718221741,330218049,388003693,2783087,2042258,740829,0,1197100566,2016-05-12
20160513,721106201,331441617,389664584,2902944,2158944,744000,0,1205412051,2016-05-13
20160516,725742698,334807603,390935095,3008343,2226253,782090,0,1207514688,2016-05-16
20160517,724943826,333404804,391539022,3045302,2238126,807176,0,1200902474,2016-05-17
20160518,724519913,332729230,391790683,3321434,2519829,801606,0,1207961445,2016-05-18
20160519,723343025,332726269,390616756,3049650,2291148,758502,0,1208622700,2016-05-19
